Year,Month,Time format ,No. of flights,No. of hotels booked,Tourism_in_Kerala,kerala_tourism_package,Tourist_places,Travel,Food_Drink,Flights_Kerala,Trains_Kerala,Rain,T_Max,T_Min,Tourists
2010,Jan,01-2010,2.99E+03,5.14E+05,87,67,10,51,78,0,35,6.8313,29.35,15.42,818356
2010,Feb,02-2010,2.81E+03,4.57E+05,83,78,18,44,72,0,35,20.1979,31.79,16.11,721201
2010,Mar,03-2010,3.14E+03,4.17E+05,93,50,9,47,66,0,90,66.8573,33.31,18.42,719944
2010,Apr,04-2010,2.67E+03,4.34E+05,95,97,9,49,65,0,100,94.4786,33.71,20.62,735432
2010,May,05-2010,2.52E+03,4.88E+05,90,69,0,54,64,0,56,112.6957,33.06,19.15,803431
2010,Jun,06-2010,2.40E+03,4.39E+05,87,43,17,49,64,0,59,604.811,31.8,19.47,639640
2010,Jul,07-2010,3.15E+03,3.76E+05,100,100,14,53,68,0,26,735.4057,30.12,18.91,632523
2010,Aug,08-2010,3.32E+03,4.14E+05,87,47,10,59,72,0,30,395.2997,29.24,19.26,705455
2010,Sep,09-2010,3.49E+03,4.12E+05,85,72,9,57,64,0,34,250.6998,29.15,19.34,698762
2010,Oct,10-2010,3.66E+03,5.31E+05,81,56,7,54,62,73,35,399.7565,29.16,18.92,886029
2010,Nov,11-2010,3.83E+03,5.20E+05,57,52,8,50,71,100,50,345.4486,28.38,17.56,882353
2010,Dec,12-2010,4.00E+03,5.95E+05,59,64,14,52,72,0,53,27.9159,28.13,15.84,1011214
2011,Jan,01-2011,3.31E+03,5.66E+05,50,48,10,50,67,0,34,4.9883,29.13,15.22,872030
2011,Feb,02-2011,3.16E+03,4.46E+05,46,51,9,44,63,91,47,69.2702,30.15,14.43,770512
2011,Mar,03-2011,3.48E+03,4.37E+05,41,51,7,40,65,0,38,15.2515,31.83,16.63,753599
2011,Apr,04-2011,2.97E+03,4.46E+05,49,48,12,47,68,0,60,75.8709,31.92,19.37,779712
2011,May,05-2011,2.81E+03,4.85E+05,53,79,12,47,58,34,53,56.6954,31.77,19.41,853926
2011,Jun,06-2011,2.65E+03,3.73E+05,55,65,13,50,61,0,34,539.8421,29.35,19.42,680654
2011,Jul,07-2011,3.48E+03,3.89E+05,59,89,15,50,65,0,48,303.1778,28.8,19.06,684737
2011,Aug,08-2011,3.64E+03,4.54E+05,58,57,12,50,67,0,41,401.7025,28.7,19.3,776193
2011,Sep,09-2011,3.81E+03,4.46E+05,56,61,13,52,69,0,48,267.491,29.61,18.6,791985
2011,Oct,10-2011,3.98E+03,6.11E+05,55,48,9,50,61,0,43,174.5188,30.06,19.25,1013044
2011,Nov,11-2011,4.15E+03,6.07E+05,59,55,15,52,60,20,44,210.9192,28.58,15.47,987385
2011,Dec,12-2011,4.32E+03,6.92E+05,62,63,13,55,53,19,45,41.0428,28.74,14.29,1150663
2012,Jan,01-2012,3.67E+03,5.97E+05,48,42,12,43,50,26,31,3.7459,29.25,13.27,937791
2012,Feb,02-2012,3.52E+03,5.21E+05,43,57,8,42,55,0,41,5.2003,31.98,15.48,815119
2012,Mar,03-2012,3.84E+03,4.83E+05,50,51,10,43,58,0,47,11.9416,32.35,18.58,803386
2012,Apr,04-2012,3.16E+03,4.97E+05,63,76,11,48,60,0,44,126.9397,32.83,18.88,821615
2012,May,05-2012,3.00E+03,5.41E+05,71,56,21,51,56,0,53,58.8536,32.26,20.17,923932
2012,Jun,06-2012,2.84E+03,4.22E+05,80,63,19,48,63,0,43,349.2896,31.9,19.4,724177
2012,Jul,07-2012,3.72E+03,4.20E+05,81,57,14,54,62,16,37,278.1448,29.81,19.01,722192
2012,Aug,08-2012,3.89E+03,4.82E+05,83,64,19,52,77,0,54,358.0054,29.49,19.08,837464
2012,Sep,09-2012,4.05E+03,5.37E+05,74,69,13,52,63,20,47,161.3312,30.16,18.94,862020
2012,Oct,10-2012,4.22E+03,7.23E+05,64,75,14,49,58,14,44,164.2022,30.61,18.82,1122220
2012,Nov,11-2012,4.39E+03,6.56E+05,54,58,7,55,60,0,46,54.271,29.6,15.96,1081390
